Region,HEI Name,HEI Type
12 - Soccsksargen,Adventist College of Technology,Private HEI
12 - Soccsksargen,AMA Computer College-Cotabato City,Private HEI
12 - Soccsksargen,AMA Computer College-General Santos City,Private HEI
12 - Soccsksargen,"Antonio R. Pacheco College, Inc.",Private HEI
12 - Soccsksargen,Asian Colleges and Technological Institute,Private HEI
12 - Soccsksargen,B.E.S.T. College of Polomolok,Private HEI
12 - Soccsksargen,Brokenshire College SOCSKSARGEN,Private HEI
12 - Soccsksargen,Central Mindanao Colleges,Private HEI
12 - Soccsksargen,Central Mindanao Computer School,Private HEI
12 - Soccsksargen,"Coland Systems Technology, Inc.",Private HEI
12 - Soccsksargen,Colegio de Kidapawan,Private HEI
12 - Soccsksargen,Cotabato Foundation College of Science and Technology,SUC
12 - Soccsksargen,Cotabato Foundation College of Science and Technology-Pikit Campus,SUC
12 - Soccsksargen,Cotabato Medical Foundation College,Private HEI
12 - Soccsksargen,Cotabato State University,SUC
12 - Soccsksargen,Cronasia Foundation College,Private HEI
12 - Soccsksargen,Dr. Domingo B. Tamondong Memorial Hospital and College Foundation,Private HEI
12 - Soccsksargen,"Dr. P. Ocampo Colleges, Inc.",Private HEI
12 - Soccsksargen,Edenton Mission College,Private HEI
12 - Soccsksargen,Filipino Canadian Community College Foundation,Private HEI
12 - Soccsksargen,General Santos Academy,Private HEI
12 - Soccsksargen,General Santos Doctors' Medical School Foundation,Private HEI
12 - Soccsksargen,Gensan College of Technology,Private HEI
12 - Soccsksargen,"Gensantos Foundation College, inc.",Private HEI
12 - Soccsksargen,Glan Institute of Technology,LUC
12 - Soccsksargen,Goldenstate College,Private HEI
12 - Soccsksargen,"Goldenstate College OF KIAMBA, INC.",Private HEI
12 - Soccsksargen,Goldenstate College of Koronadal City,Private HEI
12 - Soccsksargen,"GOLDENSTATE COLLEGE OF MAASIM, INC.",Private HEI
12 - Soccsksargen,"GOLDENSTATE COLLEGE OF MALUNGON, INC.",Private HEI
12 - Soccsksargen,Green Valley College Foundation,Private HEI
12 - Soccsksargen,"Headstart College of Cotabato, Inc.",Private HEI
12 - Soccsksargen,"HOLY CHILD CENTRAL COLLEGES (HCCC), INC. (formerly Holy Child College of Information Technology, Inc.)",Private HEI
12 - Soccsksargen,Holy Trinity College of General Santos City,Private HEI
12 - Soccsksargen,i-Link College of Science and Technology,Private HEI
12 - Soccsksargen,"JAMIAT COTABATO AND INSTITUTE OF TECHNOLOGY, INCORPORATED",Private HEI
12 - Soccsksargen,Joji Ilagan International School of Hotel & Tourism Management,Private HEI
12 - Soccsksargen,Kidapawan Doctors College,Private HEI
12 - Soccsksargen,King's College of Isulan,Private HEI
12 - Soccsksargen,King's College of Marbel,Private HEI
12 - Soccsksargen,"Korbel Foundation College, inc.",Private HEI
12 - Soccsksargen,Kulaman Academy,Private HEI
12 - Soccsksargen,Lebak Family Doctors' School of Midwifery,Private HEI
12 - Soccsksargen,Makilala Institute of Science and Technology,LUC
12 - Soccsksargen,MALAPATAN COLLEGE OF SCIENCE AND TECHNOLOGY,LUC
12 - Soccsksargen,Marbel School of Science and Technology,Private HEI
12 - Soccsksargen,Marvelous College of Technology,Private HEI
12 - Soccsksargen,"Mindanao Capitol Colleges, Inc.",Private HEI
12 - Soccsksargen,Mindanao Polytechnic College,Private HEI
12 - Soccsksargen,Mindanao State University-General Santos,SUC
12 - Soccsksargen,MMG College of General Santos City,Private HEI
12 - Soccsksargen,"NEW BRIGHTON SCHOOL OF THE PHILIPPINES, INC.",Private HEI
12 - Soccsksargen,"NEW HOPE SCHOOL OF AGRICULTURE AND FISHERY, INC.",Private HEI
12 - Soccsksargen,North Valley College Foundation,Private HEI
12 - Soccsksargen,"Notre Dame Center For Catechesis, Inc.",Private HEI
12 - Soccsksargen,"NOTRE DAME HOSPITAL AND SIENA COLLEGE OF COTABATO, INC.(formerly: Notre Dame Hospital and School of Midwifery)",Private HEI
12 - Soccsksargen,Notre Dame of Dadiangas University,Private HEI
12 - Soccsksargen,Notre Dame of Kidapawan College,Private HEI
12 - Soccsksargen,Notre Dame of Marbel University,Private HEI
12 - Soccsksargen,Notre Dame of Midsayap College,Private HEI
12 - Soccsksargen,Notre Dame of Salaman College,Private HEI
12 - Soccsksargen,Notre Dame of Tacurong College,Private HEI
12 - Soccsksargen,Notre Dame University,Private HEI
12 - Soccsksargen,Notre Dame-RVM College of Cotabato,Private HEI
12 - Soccsksargen,Notre Dame-Siena College of Polomolok,Private HEI
12 - Soccsksargen,"PACIFIC SOUTHBAY COLLEGE, INC.",Private HEI
12 - Soccsksargen,Primasia Foundation College,Private HEI
12 - Soccsksargen,Ramon Magsaysay Memorial College - Marbel,Private HEI
12 - Soccsksargen,Ramon Magsaysay Memorial Colleges,Private HEI
12 - Soccsksargen,Regency Polytechnic College,Private HEI
12 - Soccsksargen,Santa Cruz Mission School,Private HEI
12 - Soccsksargen,"SANTO NINO COLLEGE FOUNDATION, INC.",Private HEI
12 - Soccsksargen,Schola de San Jose,Private HEI
12 - Soccsksargen,Senator Ninoy Aquino College Foundation,Private HEI
12 - Soccsksargen,"SOUTH CENTRAL MINDANAO COLLEGE OF SCIENCE AND TECHNOLOGY, INC. (formerly: Saint Albert Polytechnic College)",Private HEI
12 - Soccsksargen,SOUTH COTABATO STATE COLLEGE,SUC
12 - Soccsksargen,South East Asian Institute of Technology,Private HEI
12 - Soccsksargen,Southern Baptist College,Private HEI
12 - Soccsksargen,Southern Christian College,Private HEI
12 - Soccsksargen,Southern Mindanao Institute of Technology,Private HEI
12 - Soccsksargen,"Southern Philippine Technical College of Koronadal, Inc.",Private HEI
12 - Soccsksargen,Southern Philippines Methodist College,Private HEI
12 - Soccsksargen,Southpoint College of Arts and Technology,Private HEI
12 - Soccsksargen,St. Alexius College,Private HEI
12 - Soccsksargen,St. Benedict College of Cotabato,Private HEI
12 - Soccsksargen,STI College - Koronadal City - Tacurong City Branch,Private HEI
12 - Soccsksargen,STI College of Koronadal City,Private HEI
12 - Soccsksargen,STI College-Cotabato,Private HEI
12 - Soccsksargen,STI College-Gen. Santos,Private HEI
12 - Soccsksargen,Stratford International School,Private HEI
12 - Soccsksargen,Sultan Kudarat Educational Institution,Private HEI
12 - Soccsksargen,Sultan Kudarat State University,SUC
12 - Soccsksargen,Sultan Kudarat State University-Bagumbayan,SUC
12 - Soccsksargen,Sultan Kudarat State University-Isulan,SUC
12 - Soccsksargen,Sultan Kudarat State University-Kalamansig,SUC
12 - Soccsksargen,Sultan Kudarat State University-Lutayan,SUC
12 - Soccsksargen,Sultan Kudarat State University-Palimbang,SUC
12 - Soccsksargen,Sultan Kudarat State University-Tacurong,SUC
12 - Soccsksargen,University of Southern Mindanao-Kidapawan City Campus,SUC
12 - Soccsksargen,University of Southern Mindanao-Main,SUC
12 - Soccsksargen,Villamor College of Business and Arts,Private HEI
12 - Soccsksargen,VMC Asian College Foundation,Private HEI
12 - Soccsksargen,"VMC ASIAN COLLEGE OF PRESIDENT QUIRINO, INC.",Private HEI
12 - Soccsksargen,West Celebes College of Technology,Private HEI
13 - NCR,ABE International Business College-Caloocan City,Private HEI
13 - NCR,ABE International Business College-Manila,Private HEI
13 - NCR,ABE International College of Business and Accountancy-Cubao,Private HEI
13 - NCR,Access Computer and Technical Colleges-Camarin,Private HEI
13 - NCR,Access Computer and Technical Colleges-Cubao,Private HEI
13 - NCR,Access Computer and Technical Colleges-Lagro,Private HEI
13 - NCR,Access Computer and Technical Colleges-Manila,Private HEI
13 - NCR,"ACLC College of Manila, Inc.",Private HEI
13 - NCR,Adamson University,Private HEI
13 - NCR,Air Link International Aviation College,Private HEI
13 - NCR,AMA Computer College-Caloocan,Private HEI
13 - NCR,AMA Computer College-Fairview,Private HEI
13 - NCR,AMA Computer College-Las Piñas,Private HEI
13 - NCR,AMA Computer College-Makati,Private HEI
13 - NCR,AMA Computer College-Sta. Mesa,Private HEI
13 - NCR,AMA University,Private HEI
13 - NCR,Arellano University-Malabon,Private HEI
13 - NCR,Arellano University-Mandaluyong,Private HEI
13 - NCR,Arellano University-Manila,Private HEI
13 - NCR,Arellano University-Pasay,Private HEI
13 - NCR,Arellano University-Pasig,Private HEI
13 - NCR,Asia Harvesters College and Seminary,Private HEI
13 - NCR,Asia Pacific College,Private HEI
13 - NCR,Asian Institute of Computer Studies,Private HEI
13 - NCR,Asian Institute of Computer Studies-Bicutan,Private HEI
13 - NCR,Asian Institute of Computer Studies-Quezon City,Private HEI
13 - NCR,Asian Institute of Maritime Studies,Private HEI
13 - NCR,Asian Institute of Science and Technology,Private HEI
13 - NCR,Assumption College,Private HEI
13 - NCR,Ateneo de Manila University-Quezon City,Private HEI
13 - NCR,Bernardo College,Private HEI
13 - NCR,Bestlink College of the Philippines,Private HEI
13 - NCR,Bethel Bible College of the Assemblies of God,Private HEI
13 - NCR,CAP College Foundation,Private HEI
13 - NCR,Capitol Medical Center Colleges,Private HEI
13 - NCR,Central Colleges of the Philippines,Private HEI
13 - NCR,"Centro Escolar Las Piñas, Inc.",Private HEI
13 - NCR,Centro Escolar University-Makati,Private HEI
13 - NCR,Centro Escolar University-Manila,Private HEI
13 - NCR,Chiang Kai Shek College,Private HEI
13 - NCR,Chinese General Hospital Colleges,Private HEI
13 - NCR,CIIT College of Arts and Technology,Private HEI
13 - NCR,City University of Pasay,LUC
13 - NCR,Colegio de Muntinlupa,LUC
13 - NCR,Colegio de San Gabriel Arcangel of Caloocan,Private HEI
13 - NCR,Colegio de San Juan de Letran,Private HEI
13 - NCR,Colegio de Sta. Teresa de Avila Foundation,Private HEI
13 - NCR,College of St. Catherine,Private HEI
13 - NCR,Concordia College,Private HEI
13 - NCR,Criminal Justice College,Private HEI
13 - NCR,Datamex College of Saint Adeline-Fairview,Private HEI
13 - NCR,Datamex College of Saint Adeline-Parañaque,Private HEI
13 - NCR,Datamex College of Saint Adeline-Valenzuela,Private HEI
13 - NCR,De La Salle University-Manila,Private HEI
13 - NCR,De La Salle-Araneta University,Private HEI
13 - NCR,De La Salle-College of Saint Benilde,Private HEI
13 - NCR,De Ocampo Memorial College,Private HEI
13 - NCR,Diliman College,Private HEI
13 - NCR,Divine Mercy College Foundation,Private HEI
13 - NCR,Divine Word Mission Seminary,Private HEI
13 - NCR,Don Bosco Technical College,Private HEI
13 - NCR,Dr. Carlos S. Lanting College,Private HEI
13 - NCR,Eclaro Academy,Private HEI
13 - NCR,Electron College of Technical Education,Private HEI
13 - NCR,Emilio Aguinaldo College,Private HEI
13 - NCR,Enderun Colleges,Private HEI
13 - NCR,Eulogio Amang Rodriguez Institute of Science and Technology,SUC
13 - NCR,Far Eastern University,Private HEI
13 - NCR,Far Eastern University-Makati,Private HEI
13 - NCR,FEATI University,Private HEI
13 - NCR,feu alabang,Private HEI
13 - NCR,FEU Institute of Technology,Private HEI
13 - NCR,FEU-Dr. Nicanor Reyes Medical Foundation,Private HEI
13 - NCR,Gardner College Diliman,Private HEI
13 - NCR,Global Reciprocal Colleges,Private HEI
13 - NCR,Golden Link College Foundation,Private HEI
13 - NCR,Governor Andres Pascual College,Private HEI
13 - NCR,Grace Christian College,Private HEI
13 - NCR,Greenville College,Private HEI
13 - NCR,Holy Rosary College Foundation,Private HEI
13 - NCR,IETI College of Science and Technology-Marikina,Private HEI
13 - NCR,IETI College-Alabang,Private HEI
13 - NCR,Immaculada Concepcion College,Private HEI
13 - NCR,Immaculate Heart of Mary College-Parañaque,Private HEI
13 - NCR,Informatics College-Manila,Private HEI
13 - NCR,Informatics College-Northgate,Private HEI
13 - NCR,Information and Communications Technology Academy,Private HEI
13 - NCR,Infotech College of Arts and Sciences,Private HEI
13 - NCR,Integrated Innovation and Hospitality Colleges,Private HEI
13 - NCR,International School of Asia and the Pacific,Private HEI
13 - NCR,Jesus Reigns Christian College Foundation,Private HEI
13 - NCR,Jose Rizal University,Private HEI
13 - NCR,La Consolacion College-Caloocan,Private HEI
13 - NCR,La Consolacion College-Manila,Private HEI
13 - NCR,La Consolacion College-Novaliches,Private HEI
13 - NCR,La Consolacion College-Valenzuela,Private HEI
13 - NCR,La Verdad Christian College-Caloocan,Private HEI
13 - NCR,Lady of Lourdes Hospital & Colleges of Caybiga,Private HEI
13 - NCR,Loral Douglas Woosley Bethany Colleges,Private HEI
13 - NCR,Lyceum of Alabang,Private HEI
13 - NCR,Lyceum of the Philippines University,Private HEI
13 - NCR,Makati Science Technological Institute of the Philippines,Private HEI
13 - NCR,Manila Adventist College,Private HEI
13 - NCR,Manila Business College Foundation,Private HEI
13 - NCR,Manila Central University,Private HEI
13 - NCR,Manila Tytana Colleges,Private HEI
13 - NCR,Manuel L. Quezon University,Private HEI
13 - NCR,Mapua University-Makati,Private HEI
13 - NCR,Mapua University-Manila,Private HEI
13 - NCR,Marikina Polytechnic College,SUC
13 - NCR,Mary Chiles College,Private HEI
13 - NCR,Mary the Queen College of Quezon City,Private HEI
13 - NCR,"Medici de Makati College, Inc.",Private HEI
13 - NCR,Metro Business College-Pasay,Private HEI
13 - NCR,Metro Manila College,Private HEI
13 - NCR,Metropolitan Institute of Arts and Sciences,Private HEI
13 - NCR,"Metropolitan Medical Center College of Arts, Science and Technology",Private HEI
13 - NCR,Miriam College,Private HEI
13 - NCR,NAMEI Polytechnic Institute,Private HEI
13 - NCR,National Christian Life College,Private HEI
13 - NCR,National College of Business and Arts-Cubao,Private HEI
13 - NCR,National College of Business and Arts-Fairview,Private HEI
13 - NCR,National Polytechnic College of Science and Technology,Private HEI
13 - NCR,National University,Private HEI
13 - NCR,Navotas Polytechnic College,LUC
13 - NCR,New Era University,Private HEI
13 - NCR,Olivarez College,Private HEI
13 - NCR,Our Lady of Fatima University-Quezon City,Private HEI
13 - NCR,Our Lady of Fatima University-Valenzuela,Private HEI
13 - NCR,Our Lady of Guadalupe Colleges,Private HEI
13 - NCR,Our Lady of Lourdes College,Private HEI
13 - NCR,Our Lady of Lourdes Technological College,Private HEI
13 - NCR,Our Lady of Perpetual Succor College,Private HEI
13 - NCR,Our Lady of the Angels Seminary,Private HEI
13 - NCR,PACE Graduate School of Christian Education,Private HEI
13 - NCR,Pamantasan ng Lungsod ng Marikina,LUC
13 - NCR,Pamantasan ng Lungsod ng Maynila,LUC
13 - NCR,Pamantasan ng Lungsod ng Muntinlupa,LUC
13 - NCR,Pamantasan ng Lungsod ng Pasig,LUC
13 - NCR,Pamantasan ng Lungsod ng Valenzuela,LUC
13 - NCR,Pasig Catholic College,Private HEI
13 - NCR,Pateros Technological College,LUC
13 - NCR,PATTS College of Aeronautics,Private HEI
13 - NCR,Perpetual Help College of Manila,Private HEI
13 - NCR,Philippine Christian University,Private HEI
13 - NCR,Philippine College of Criminology,Private HEI
13 - NCR,Philippine College of Health Sciences,Private HEI
13 - NCR,Philippine Cultural College,Private HEI
13 - NCR,Philippine Merchant Marine School-Las Piñas,Private HEI
13 - NCR,Philippine Merchant Marine School-Manila,Private HEI
13 - NCR,Philippine Normal University-Main,SUC
13 - NCR,Philippine Rehabilitation Institute Foundation,Private HEI
13 - NCR,Philippine School of Business Administration-Manila,Private HEI
13 - NCR,Philippine School of Business Administration-Quezon City,Private HEI
13 - NCR,Philippine State College of Aeronautics-Main,SUC
13 - NCR,PHILSIN College Foundation,Private HEI
13 - NCR,PMI Colleges-Manila,Private HEI
13 - NCR,PMI Colleges-Quezon City,Private HEI
13 - NCR,Polytechnic University of the Philippines,SUC
13 - NCR,Polytechnic University of the Philippines-Open University,SUC
13 - NCR,Polytechnic University of the Philippines-Parañaque Campus,SUC
13 - NCR,Polytechnic University of the Philippines-Quezon City Campus,SUC
13 - NCR,Polytechnic University of the Philippines-San Juan Campus,SUC
13 - NCR,Polytechnic University of the Philippines-Taguig,SUC
13 - NCR,Quezon City University,LUC
13 - NCR,Regis Marie College,Private HEI
13 - NCR,Republican College,Private HEI
13 - NCR,Rizal Technological University,SUC
13 - NCR,Rizal Technological University-Pasig,SUC
13 - NCR,Rogationist Seminary College of Philosophy,Private HEI
13 - NCR,Roosevelt College-Marikina,Private HEI
13 - NCR,Saint Francis of Assisi College,Private HEI
13 - NCR,Samson College of Science and Technology-Quezon City,Private HEI
13 - NCR,San Beda College,Private HEI
13 - NCR,San Beda College-Alabang,Private HEI
13 - NCR,San Juan de Dios Educational Foundation,Private HEI
13 - NCR,San Sebastian College-Recoletos,Private HEI
13 - NCR,Santa Isabel College of Manila,Private HEI
13 - NCR,Sapphire International Aviation Academy,Private HEI
13 - NCR,Siena College,Private HEI
13 - NCR,Southeast Asian College,Private HEI
13 - NCR,Southeastern College,Private HEI
13 - NCR,Southville International School and Colleges,Private HEI
13 - NCR,"St. Bernadette College of Alabang, inc.",Private HEI
13 - NCR,St. Bernadette of Lourdes College,Private HEI
13 - NCR,St. Clare College of Caloocan,Private HEI
13 - NCR,St. Dominic Savio College,Private HEI
13 - NCR,St. John Technological College of the Philippines,Private HEI
13 - NCR,St. Joseph's College of Quezon City,Private HEI
13 - NCR,St. Jude College,Private HEI
13 - NCR,St. Louis College-Valenzuela,Private HEI
13 - NCR,St. Mary's College,Private HEI
13 - NCR,St. Paul University-Manila,Private HEI
13 - NCR,St. Paul University-Quezon City,Private HEI
13 - NCR,St. Scholastica's College,Private HEI
13 - NCR,St. Vincent de Ferrer College of Camarin,Private HEI
13 - NCR,STI College - Las Piñas,Private HEI
13 - NCR,STI College Sta. Mesa (Formerly: STI College-Shaw),Private HEI
13 - NCR,STI College-Alabang,Private HEI
13 - NCR,STI College-Caloocan,Private HEI
13 - NCR,STI College-Cubao,Private HEI
13 - NCR,STI College-fairview,Private HEI
13 - NCR,STI College-Global City,Private HEI
13 - NCR,STI College-Marikina,Private HEI
13 - NCR,STI College-Muñoz EDSA,Private HEI
13 - NCR,STI College-Novaliches,Private HEI
13 - NCR,STI College-Taft,Private HEI
13 - NCR,Systems Plus Computer College-Caloocan,Private HEI
13 - NCR,Systems Plus Computer College-Quezon City,Private HEI
13 - NCR,Technological Institute of the Philippines-Manila,Private HEI
13 - NCR,Technological Institute of the Philippines-Quezon City,Private HEI
13 - NCR,Technological University of the Philippines-Manila,SUC
13 - NCR,Technological University of the Philippines-Taguig,SUC
13 - NCR,The Fisher Valley College,Private HEI
13 - NCR,The National Teachers College,Private HEI
13 - NCR,The Philippine Women's University-Manila,Private HEI
13 - NCR,The University of Manila,Private HEI
13 - NCR,Trinity University of Asia,Private HEI
13 - NCR,UBIX Institute of Technologies,Private HEI
13 - NCR,Universal Colleges of Parañaque,Private HEI
13 - NCR,University of Asia and the Pacific,Private HEI
13 - NCR,University of Perpetual Help System Dalta,Private HEI
13 - NCR,University of Santo Tomas,Private HEI
13 - NCR,University of the East-Caloocan,Private HEI
13 - NCR,University of the East-Manila,Private HEI
13 - NCR,University of the East-Ramon Magsaysay Memorial Medical Center,Private HEI
13 - NCR,University of the Philippines-Diliman,SUC
13 - NCR,University of the Philippines-Manila,SUC
13 - NCR,"UST Angelicum College, Inc.",Private HEI
13 - NCR,Valenzuela City Polytechnic College,LUC
13 - NCR,Villagers Montessori College,Private HEI
13 - NCR,WCC Aeronautical & Technological College-North Manila,Private HEI
13 - NCR,West Bay College,Private HEI
13 - NCR,World Citi Colleges-Quezon City,Private HEI
14 - CAR,Abra State Institute of Science and Technology-Bangued,SUC
14 - CAR,Abra State Institute of Science and Technology-Main,SUC
14 - CAR,Abra Valley Colleges,Private HEI
14 - CAR,AMA Computer College-Baguio,Private HEI
14 - CAR,Apayao State College-Luna,SUC
14 - CAR,Apayao State College-Main,SUC
14 - CAR,Baguio Central University,Private HEI
14 - CAR,Baguio College of Technology,Private HEI
14 - CAR,Benguet State University-Bokod Campus,SUC
14 - CAR,Benguet State University-Buguias Campus,SUC
14 - CAR,Benguet State University-Main,SUC
14 - CAR,BSBT College,Private HEI
14 - CAR,BVS College,Private HEI
14 - CAR,Casiciaco Recoletos Seminary,Private HEI
14 - CAR,Cordillera A+ Computer Technology College,Private HEI
14 - CAR,Cordillera Career Development College,Private HEI
14 - CAR,"Data Center College of the Philippines of Baguio City, INC.",Private HEI
14 - CAR,Data Center College of the Philippines of Bangued-Abra,Private HEI
14 - CAR,Divine Word College of Bangued,Private HEI
14 - CAR,Easter College,Private HEI
14 - CAR,Ifugao State University - Lagawe Campus,SUC
14 - CAR,Ifugao State University - Main,SUC
14 - CAR,Ifugao State University - Potia,SUC
14 - CAR,Ifugao State University - Tinoc,SUC
14 - CAR,Ifugao State University-Aguinaldo,SUC
14 - CAR,Ifugao State University-Hapao,SUC
14 - CAR,International School of Asia and the Pacific,Private HEI
14 - CAR,Kalinga Colleges of Science and Technology,Private HEI
14 - CAR,Kalinga State University-Dagupan,SUC
14 - CAR,Kalinga State University-Main,SUC
14 - CAR,Kalinga State University-Rizal,SUC
14 - CAR,Keystone College,Private HEI
14 - CAR,King's College of the Philippines-Benguet,Private HEI
14 - CAR,Mountain Province State Polytechnic College-Main,SUC
14 - CAR,Mountain Province State Polytechnic College-Tadian,SUC
14 - CAR,Philippine College of Ministry,Private HEI
14 - CAR,Philippine Nazarene College,Private HEI
14 - CAR,Pines City Colleges,Private HEI
14 - CAR,Saint Louis College of Bulanao,Private HEI
14 - CAR,Saint Louis University,Private HEI
14 - CAR,Saint Tonis College,Private HEI
14 - CAR,San Pablo Major Seminary,Private HEI
14 - CAR,"STAR COLLEGES, INCORPORATED",Private HEI
14 - CAR,STI Education Group Services,Private HEI
14 - CAR,University of Baguio,Private HEI
14 - CAR,University of the Cordilleras,Private HEI
14 - CAR,University of the Philippines-Baguio,SUC
14 - CAR,Xijen College of Mt. Province,Private HEI
15A - BARMM,Basilan State College-Lamitan,SUC
15A - BARMM,Basilan State College-Maluso,SUC
15A - BARMM,Basilan State College-Sta. Clara,SUC
15A - BARMM,Basilan State College-Tipo-Tipo,SUC
15A - BARMM,Central Sulu College,Private HEI
15A - BARMM,Doctor Hadja Ponchita Abubakar Memorial Academy Foundation Inc.,Private HEI
15A - BARMM,Hardam Furigay Colleges Foundation,Private HEI
15A - BARMM,"LAMITAN TECHNICAL INSTITUTE, INC.",Private HEI
15A - BARMM,Mahardika Institute of Technology,Private HEI
15A - BARMM,Mindanao Autonomous College Foundation,Private HEI
15A - BARMM,MINDANAO AUTONOMOUS COLLEGE FOUNDATION-MALUSO,Private HEI
15A - BARMM,Mindanao State University-Sulu Development Technical College,SUC
15A - BARMM,Mindanao State University-Tawi-Tawi College of Technology and Oceanography,SUC
15A - BARMM,Notre Dame Of Jolo College,Private HEI
15A - BARMM,PHILIPPINE LAST FRONTIER COLLEGE,Private HEI
15A - BARMM,Southwestern Mindanao Islamic Institute,Private HEI
15A - BARMM,Sulu College of Technology,Private HEI
15A - BARMM,Sulu State College,SUC
15A - BARMM,TAWI-TAWI CRIMINAL JUSTICE COLLEGE,Private HEI
15A - BARMM,Tawi-Tawi Regional Agricultural College,SUC
15A - BARMM,UNIVERSAL COLLEGE FOUNDATION OF SOUTHEAST ASIA AND THE PACIFIC,Private HEI
15B - BARMM,Adiong Memorial Polytechnic State College,SUC
15B - BARMM,Al Bangsamoro Shari'ah and Professional Education College,Private HEI
15B - BARMM,"As-Salihein Integrated School Foundation, Inc.",Private HEI
15B - BARMM,Bai Malgen Mama College,Private HEI
15B - BARMM,Cali Paramedical College Foundation,Private HEI
15B - BARMM,COLEGIO DE UPI,Private HEI
15B - BARMM,Cotabato Foundation College of Science and Technology-Datu Montawal Campus,SUC
15B - BARMM,Dansalan Polytechnic College,Private HEI
15B - BARMM,Datu Ibrahim Paglas Memorial College,Private HEI
15B - BARMM,Datu Mala Muslim Mindanao Islamic College Foundation,Private HEI
15B - BARMM,Del Sur Good Shepherd College,Private HEI
15B - BARMM,Eastern Kutawato College,Private HEI
15B - BARMM,Enthusiastic College,Private HEI
15B - BARMM,Gani L. Abpi College,Private HEI
15B - BARMM,Hadji Datu Saidona Pendatun Foundation College,Private HEI
15B - BARMM,Illana Bay Integrated Computer College,Private HEI
15B - BARMM,Iranun Foundation College,Private HEI
15B - BARMM,Jamiatu Marawi Al-Islamia Foundation,Private HEI
15B - BARMM,Jamiatu Muslim Mindanao,Private HEI
15B - BARMM,Jamiatul Philippine Al-Islamia,Private HEI
15B - BARMM,Khadijah Mohammad Islamic Academy,Private HEI
15B - BARMM,Lake Lanao College,Private HEI
15B - BARMM,Lanao Central College,Private HEI
15B - BARMM,Lanao Educational Institute,Private HEI
15B - BARMM,Lanao Islamic Paramedical College Foundation,Private HEI
15B - BARMM,Mapandi Memorial College,Private HEI
15B - BARMM,Marawi Capitol College Foundation,Private HEI
15B - BARMM,Marawi Islamic College,Private HEI
15B - BARMM,Mindanao Institute of Healthcare Professionals,Private HEI
15B - BARMM,Mindanao Islamic Computer College,Private HEI
15B - BARMM,Mindanao State University-Lanao National College of Arts and Trades,SUC
15B - BARMM,Mindanao State University-Maguindanao,SUC
15B - BARMM,Mindanao State University-Main Campus Marawi City,SUC
15B - BARMM,Parang Foundation College,Private HEI
15B - BARMM,Philippine Engineering and Agro-Industrial College,Private HEI
15B - BARMM,Philippine Muslim Teachers' College,Private HEI
15B - BARMM,RC-Al Khwarizmi International College Foundation,Private HEI
15B - BARMM,Regional Madrasah Graduate Academy,CHED Supervised Inst.
15B - BARMM,Safrullah M. Dipatuan Foundation Academy,Private HEI
15B - BARMM,SAL Foundation College,Private HEI
15B - BARMM,Senator Ninoy Aquino College Foundation-Marawi,Private HEI
15B - BARMM,Shariff Kabunsuan College (Annex),Private HEI
15B - BARMM,SPA College,Private HEI
15B - BARMM,St. Benedict College of Maguindanao,Private HEI
15B - BARMM,Sultan Kudarat Islamic Academy Foundation College,Private HEI
15B - BARMM,Upi Agricultural School-Provincial Technical Institute of Agriculture,CHED Supervised Inst.
15B - BARMM,"VMC Asian College Foundation, Inc.",Private HEI
16 - Caraga,ACLC College of Butuan City,Private HEI
16 - Caraga,Agusan Colleges,Private HEI
16 - Caraga,Agusan del Sur College,Private HEI
16 - Caraga,Agusan Del Sur State College of Agriculture and Technology,SUC
16 - Caraga,Andres Soriano Colleges of Bislig,Private HEI
16 - Caraga,Asian College Foundation,Private HEI
16 - Caraga,Bucas Grande Foundation College,Private HEI
16 - Caraga,"Butuan City Colleges, INC.",Private HEI
16 - Caraga,Butuan Doctors' College,Private HEI
16 - Caraga,Candelaria Institute of Technology of Cabadbaran,Private HEI
16 - Caraga,Caraga Institute of Technology,Private HEI
16 - Caraga,Caraga State University-Cabadbaran Campus,SUC
16 - Caraga,Caraga State University-Main Campus,SUC
16 - Caraga,De La Salle John Bosco College,Private HEI
16 - Caraga,Don Jose Ecleo Memorial Foundation College of Science and Technology / don jose ecleo memorial college,Private HEI
16 - Caraga,Elisa R. Ochoa Memorial Northern Mindanao School of Midwifery,Private HEI
16 - Caraga,Father Saturnino Urios University,Private HEI
16 - Caraga,Hinatuan Southern College,LUC
16 - Caraga,Holy Child Colleges of Butuan City,Private HEI
16 - Caraga,"MERCHANT MARINE ACADEMY OF CARAGA, INC.",Private HEI
16 - Caraga,Mt. Carmel College of San Francisco,Private HEI
16 - Caraga,North Eastern Mindanao State University-Bislig,SUC
16 - Caraga,North Eastern Mindanao State University-Cagwait,SUC
16 - Caraga,North Eastern Mindanao State University-Cantilan,SUC
16 - Caraga,North Eastern Mindanao State University-Lianga,SUC
16 - Caraga,North Eastern Mindanao State University-Main,SUC
16 - Caraga,North Eastern Mindanao State University-San Miguel,SUC
16 - Caraga,North Eastern Mindanao State University-Tagbina,SUC
16 - Caraga,Northeastern Mindanao Colleges,Private HEI
16 - Caraga,Northern Mindanao Colleges,Private HEI
16 - Caraga,Northwestern Agusan Colleges,Private HEI
16 - Caraga,Philippine Electronics and Communication Institute of Technology,Private HEI
16 - Caraga,Philippine Normal University-Mindanao Campus,SUC
